url,title,score,posterImagePath,certification,overview,tagline,genres,trailerUrl,language
https://www.themoviedb.org/tv/1399,"Trò Chơi Vương Quyền
(2011)",84.0,poster_final/1399.jpg,TV-MA,"Game of Throne - Trò Chơi Vương Quyền kể về 7 gia tộc chiến đấu để làm chủ vùng đất thần thoại Westeros. Những gia tộc thống trị là Stark, Lannister, và Baratheon. Vị vua của Westeros, Robert Baratheon, yêu cầu người bạn cũ của ông là Eddard – lãnh chúa Stark giữ chức vụ cao, Eddard miễn cưỡng chấp nhận mệnh lệnh để tìm ra sự thật đằng sau. Trong lúc ấy, gia tộc của nữ hoàng, Lannisters, có lẽ đang dự tính mưu đồ để tước đoạt quyền lực. Ở phía bên kia biển khơi, những thành viên cuối cùng của dòng tộc trước đây đã bị truất phế quyền thống trị, Targaryens, cũng đang sắp đặt kế hoạch giành lại ngai vàng. Còn ở phía cực Bắc, Bóng Trắng – loài quỷ vốn chìm trong giấc ngủ rất dài, nay đã thức giấc…",Winter Is Coming,"Sci-Fi & Fantasy, Phim Chính Kịch, Action & Adventure, Phim Bí Ẩn",,vi
https://www.themoviedb.org/tv/76669,"Elite
(2018)",83.0,poster_final/76669.jpg,16,"When three working class kids enroll in the most exclusive school in Spain, the clash between the wealthy and the poor students leads to tragedy.",,"Phim Hình Sự, Phim Bí Ẩn, Phim Chính Kịch",,en
https://www.themoviedb.org/tv/71789,"SEAL Team
(2017)",78.0,poster_final/71789.jpg,TV-14,"The lives of the elite Navy Seals as they train, plan and execute the most dangerous, high-stakes missions our country can ask.",,"Action & Adventure, Phim Chính Kịch, War & Politics",,en
https://www.themoviedb.org/tv/66732,"Cậu Bé Mất Tích
(2016)",86.0,poster_final/66732.jpg,TV-14,"Phim Cậu Bé Mất Tích - Stranger Things 2016: Lấy bối cảnh những năm 1980 tại thị trấn Hawkins yên bình, cậu bé Will đột nhiên mất tích một cách bí ẩn. Mẹ cậu - Joyce ngày đêm tìm kiếm con trai mình trong tuyệt vọng. Bức màn dần được vén lên khi cô phát hiện ra rằng sự biến mất của Will rất có thể dính dáng đến chính phủ và những thế lực siêu nhiên. Cùng lúc đó, một cô bé sở hữu những khả năng kỳ dị đột nhiên xuất hiện...",It only gets stranger…,"Phim Bí Ẩn, Sci-Fi & Fantasy, Phim Chính Kịch",,vi
https://www.themoviedb.org/tv/62286,"Fear the Walking Dead
(2015)",75.0,poster_final/62286.jpg,TV-MA,"What did the world look like as it was transforming into the horrifying apocalypse depicted in ""The Walking Dead""? This spin-off set in Los Angeles, following new characters as they face the beginning of the end of the world, will answer that question.",Every decision is life or death.,"Action & Adventure, Phim Chính Kịch",,en
https://www.themoviedb.org/tv/456,"The Simpsons
(1989)",78.0,poster_final/456.jpg,TV-PG,"Set in Springfield, the average American town, the show focuses on the antics and everyday adventures of the Simpson family; Homer, Marge, Bart, Lisa and Maggie, as well as a virtual cast of thousands. Since the beginning, the series has been a pop culture icon, attracting hundreds of celebrities to guest star. The show has also made name for itself in its fearless satirical take on politics, media and American life in general.","On your marks, get set, d'oh!","Phim Hoạt Hình, Phim Hài, Phim Gia Đình, Phim Chính Kịch",,en
https://www.themoviedb.org/tv/44953,"The Lord of the Skies
(2013)",77.0,poster_final/44953.jpg,,"Set in the 1990s, these are the life and times of Amado Carrillo Fuentes, a man who became the head of the Juárez cartel. Nicknamed “El Señor de los Cielos” (Lord of the Skies) because of the large fleet of airplanes he used to transport drugs, he was also known for washing more than $200 million through Colombia to finance his huge fleet. He is described as the most powerful drug trafficker of his time.",,"Phim Hình Sự, Phim Chính Kịch, Soap",,en
https://www.themoviedb.org/tv/48866,"The 100
(2014)",78.0,poster_final/48866.jpg,TV-14,"100 years in the future, when the Earth has been abandoned due to radioactivity, the last surviving humans live on an ark orbiting the planet — but the ark won't last forever. So the repressive regime picks 100 expendable juvenile delinquents to send down to Earth to see if the planet is still habitable.",Survival isn't who you are. It's who you become.,"Sci-Fi & Fantasy, Phim Chính Kịch, Action & Adventure",,en
https://www.themoviedb.org/tv/68507,"His Dark Materials
(2019)",80.0,poster_final/68507.jpg,12,"Lyra is an orphan who lives in a parallel universe in which science, theology and magic are entwined. Lyra's search for a kidnapped friend uncovers a sinister plot involving stolen children, and turns into a quest to understand a mysterious phenomenon called Dust. She is later joined on her journey by Will, a boy who possesses a knife that can cut windows between worlds. As Lyra learns the truth about her parents and her prophesied destiny, the two young people are caught up in a war against celestial powers that ranges across many worlds.",One girl will change worlds.,"Phim Chính Kịch, Sci-Fi & Fantasy",,en
https://www.themoviedb.org/tv/76479,"Siêu Anh Hùng Phá Hoại
(2019)",84.0,poster_final/76479.jpg,TV-MA,"“Siêu anh hùng là những người sử dụng sức mạnh của mình để giải cứu Trái Đất và mang lại bình yên cho nhân loại” – Đó là triết lý được các phim bom tấn của Marvel hay DC mang đến cho khán giả. Siêu anh hùng luôn xuất hiện “ngầu lòi”, đạo đức “chói lóa”, mang đến hòa bình, hạnh phúc ấm no muôn nơi. Nhưng sẽ thế nào nếu chính siêu anh hùng là những người... khiến thế giới tồi tệ hơn. Một đội chống các siêu anh hùng đã được lập ra để vạch trần những siêu anh hùng biến chất.",Never meet your heroes.,"Sci-Fi & Fantasy, Action & Adventure",,vi
